10.SSID: Oecher WLAN Zugang 5687 (2116), BSSID: 00:18:f8:38:3a:05, capabilities: [ESS], level: -90, frequency: 2437
Time passed (ms): 1363695168620
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -85, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -84, frequency: 2417
4.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -70, frequency: 2462
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -87, frequency: 2432
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2432
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2432
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 2462
9.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -87, frequency: 2437
10.SSID: Oecher WLAN Zugang 5687 (2116), BSSID: 00:18:f8:38:3a:05, capabilities: [ESS], level: -90, frequency: 2437
Time passed (ms): 1363695172085
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -84, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -85, frequency: 2417
4.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -82, frequency: 2462
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 5260
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2437
8.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -91, frequency: 2462
9.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -82, frequency: 5260
10.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -83, frequency: 2437
Time passed (ms): 1363695172100
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -84, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -85, frequency: 2417
4.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -82, frequency: 2462
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 5260
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2437
8.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -91, frequency: 2462
9.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -82, frequency: 5260
10.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -83, frequency: 2437
Time passed (ms): 1363695175458
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2417
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2462
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5260
6.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -70, frequency: 5260
7.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -61, frequency: 2437
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5680
9.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5560
10.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
11.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 5680
