8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -93, frequency: 2432
Time passed (ms): 1363345813221
1.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -83, frequency: 5280
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -90, frequency: 2432
5.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2432
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5280
7.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -92, frequency: 2412
Time passed (ms): 1363345813226
1.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -83, frequency: 5280
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2417
3.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -90, frequency: 2432
5.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2432
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5280
7.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -92, frequency: 2412
Time passed (ms): 1363345816682
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2432
4.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -94, frequency: 2432
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 5240
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2417
8.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -73, frequency: 5240
9.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -87, frequency: 2437
Time passed (ms): 1363345816756
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2432
4.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -94, frequency: 2432
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 5240
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2417
8.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -73, frequency: 5240
9.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -87, frequency: 2437
Time passed (ms): 1363345820151
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -69, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -80, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 2462
6.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -79, frequency: 5280
7.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -75, frequency: 2462
Time passed (ms): 1363345820158
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -69, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -80, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 2462
6.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -79, frequency: 5280
7.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -75, frequency: 2462
Time passed (ms): 1363345823599
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -72, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -82, frequency: 5280
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2432
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2432
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -94, frequency: 2432
Time passed (ms): 1363345823619
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -72, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -82, frequency: 5280
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2432
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2432
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -94, frequency: 2432
Time passed (ms): 1363345827006
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -75, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -87, frequency: 5280
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:e8:d1, capabilities: [ESS], level: -88, frequency: 2462
Time passed (ms): 1363345827010
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -75, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -87, frequency: 5280
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -77, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:e8:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:e8:d1, capabilities: [ESS], level: -88, frequency: 2462
Time passed (ms): 1363345830437
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -78, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -75, frequency: 5280
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
6.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -76, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -88, frequency: 2462
Time passed (ms): 1363345830452
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -78, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -75, frequency: 5280
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
6.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -76, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -88, frequency: 2462
Time passed (ms): 1363345833921
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 5280
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 5240
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -73, frequency: 5240
4.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -81, frequency: 5280
