7.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -78, frequency: 5240
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -92, frequency: 2432
Time passed (ms): 1363345503626
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
3.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -90, frequency: 2417
4.SSID: EasyBox-C97D38, BSSID: 74:31:70:c9:7d:a8, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS][ESS], level: -91, frequency: 2417
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5240
6.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
7.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -78, frequency: 5240
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -92, frequency: 2432
Time passed (ms): 1363345507115
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2437
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -72, frequency: 5240
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2462
5.SSID: mmi_wlan, BSSID: 00:1c:10:f5:47:fd, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 2437
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2432
7.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -74, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -83, frequency: 2462
Time passed (ms): 1363345507131
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -72, frequency: 5240
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2437
3.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -72, frequency: 5240
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2462
5.SSID: mmi_wlan, BSSID: 00:1c:10:f5:47:fd, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 2437
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2432
7.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -74, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -83, frequency: 2462
Time passed (ms): 1363345510578
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2462
