3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -69, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -69, frequency: 5260
Time passed (ms): 1363695882402
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2462
2.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -80, frequency: 2462
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -75, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5680
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2417
8.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -85, frequency: 5680
Time passed (ms): 1363695882410
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2462
2.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -80, frequency: 2462
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -75, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 5680
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2417
8.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -85, frequency: 5680
Time passed (ms): 1363695885826
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2462
2.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -71, frequency: 2462
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -71, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5680
7.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5560
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 2412
9.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -85, frequency: 5560
10.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -84, frequency: 2412
Time passed (ms): 1363695885828
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -71, frequency: 2462
2.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -71, frequency: 2462
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -70, frequency: 5260
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -71, frequency: 5260
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -66, frequency: 2437
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5680
7.SSID: eduroam, BSSID: 00:21:a0:10:22:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5560
8.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 2412
9.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -85, frequency: 5560
10.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -84, frequency: 2412
Time passed (ms): 1363695889294
