1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -74, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -83, frequency: 2437
Time passed (ms): 1362828846682
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -75, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -74, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -83, frequency: 2437
Time passed (ms): 1362828850156
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -72, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -81, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5500
6.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -86, frequency: 5500
Time passed (ms): 1362828850161
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -72, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -81, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5500
6.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -86, frequency: 5500
Time passed (ms): 1362828853600
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -67, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -83, frequency: 5500
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -83, frequency: 2462
Time passed (ms): 1362828853616
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -67, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -83, frequency: 5500
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -83, frequency: 2462
Time passed (ms): 1362828857088
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -67, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5500
5.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -87, frequency: 5500
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2462
7.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -82, frequency: 2437
Time passed (ms): 1362828857104
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 5240
2.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -67, frequency: 5240
3.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5500
